EXAMPLE 1: VALID DATA

,LEP75611,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75612,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75613,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75614,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75615,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75616,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75617,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75618,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75619,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75620,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75621,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75622,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75623,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75624,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75625,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
,LEP75626,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,


EXAMPLE 2: VALID DATA, DUPLICATE ENTRY

catalogNumber,otherCatalogNumber,recordNumber,order_,superfamily,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,recordedBy,otherCollectors,identifiedBy,dateIdentified,verbatimDate,collectedYear,collectedMonth,collectedDay,sex,lifeStage,habitat,occurrenceRemarks,molecularOccurrenceRemarks,samplingProtocol,country,stateProvince,county,municipality,locality,elevationInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,verbatimLatitude,verbatimLongitude,georeferencedBy,disposition,isLoaned,loanInstitution,loaneeName,loanDate,loanReturnDate,preparations,freezer,rack,box,tubeSize,associatedSequences,associatedReferences,withholdData,reared,fieldNotes
,LEP75596,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,


EXAMPLE 3: INVALID HEADERS

catalogNumber,othrCatalogNumbr,recordNumber,order_,superfamily,family,subfamily,tribe,genus,subgenus,specificEpithe,infraspecificEpithet,identificationQualifier,recordedBy,otherCollectors,identifiedBy,dateIdentified,verbatimDate,collectedMonth,collectedYear,collectedDay,sex,lifeStage,habitat,occurrenceRemarks,molecularOccurrenceRemarks,samplingProtocol,country,stateProvince,county,municipality,locality,elevationInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,verbatimLatitude,verbatimLongitude,georeferencedBy,disposition,isLoaned,loanInstitution,loaneeName,loanDate,loanReturnDate,preparations,freezer,rack,box,tubeSize,associatedSequences,associatedReferences,withholdData,reared,fieldNotes
,LEP75628,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,


EXAMPLE 4: VALID HEADERS, INVALID DATA

catalogNumber,otherCatalogNumber,recordNumber,order_,superfamily,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,recordedBy,otherCollectors,identifiedBy,dateIdentified,verbatimDate,collectedYear,collectedMonth,collectedDay,sex,lifeStage,habitat,occurrenceRemarks,molecularOccurrenceRemarks,samplingProtocol,country,stateProvince,county,municipality,locality,elevationInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,verbatimLatitude,verbatimLongitude,georeferencedBy,disposition,isLoaned,loanInstitution,loaneeName,loanDate,loanReturnDate,preparations,freezer,rack,box,tubeSize,associatedSequences,associatedReferences,withholdData,reared,fieldNotes
,LEP-75627,,Lepidoptera,,,,,,,,,,"Kawahara,Akito","Rubin,Juliette, Barber,Jesse",,,,2018,11,11,,,,,,,Madagascar,Vatovavy-Fitovinany,Ifanadiana,Ranomafana,Centre ValBio Station,,-21.253909,47.421911,,,,,,,,,,,,,,GGG,2,microcentrifuge,,,,,
